video_id,author_name,view_count,comment_count,share_count,like_count,region_code,create_time,effect_ids,music_id,video_description,hashtag_names,voice_to_text,video_url
7509913728800836886,ufonomenon,3302,2,5,63,GB,2025-05-29T17:00:50Z,,7509913727887575830,Groundbreaking new footage of a massive UFO emerging from the ocean! All captured on camera! Must see! Breaking news! #UFO #ufos #uaps #uap #Aliens #Alien #OVNI ,,NA,https://www.tiktok.com/@ufonomenon/video/7509913728800836886
7509895958918941982,washingtonpost,239894,148,544,22761,US,2025-05-29T15:52:02Z,,7509895917865011999,"What is TACO? President Donald Trump bristled Wednesday when asked about an acronym Wall Street has been using as shorthand to describe Trump’s tariff threats: “TACO,” or “Trump Always Chickens Out.” “I’ve never heard that,” he said, before defending his tariffs as a negotiating tool and berating the reporter who asked about it. “You ask a nasty question like that. It’s called negotiation. … Don’t ever say what you said. That’s a nasty question. To me, that’s the nastiest question,” Trump added. Caption from article by Amy B Wang.",,"Hey, can you explain the taco thing? Oh, it's like a hot dog, but a tortilla. No, the Trump taco thing. Oh, right. It's an acronym. Trump always chickens out. Are you referring to his 2004 SNL appearance? Cock could doodle doo, folks, I'm Donald Trump. No, I'm talking about tariffs. Specifically how Wall Street talks about Trump's tariff policy. He always chickens out. Yes, he announces them and backs off, but not always. Recently, the tariffs were halted by the court of International Trade. Does Trump know about taco? Yes, A reporter asked him about it yesterday. Don't ever say what you said. That's a nasty question. I don't think Trump likes taco. No, he does not.
",https://www.tiktok.com/@washingtonpost/video/7509895958918941982
7509845704840400150,ufonomenon,6786,1,5,109,GB,2025-05-29T12:36:54Z,,7370068258902657825,Footage of the UFO that landed on a Hawaiian beach! Breaking news! #UFO #ufos #uaps #uap #Aliens #Alien #OVNI #hawaii ,,NA,https://www.tiktok.com/@ufonomenon/video/7509845704840400150
7509820964491005207,ufonomenon,82596,11,29,540,GB,2025-05-29T11:00:54Z,,7476429612541610774,Massive UFO is recorded plummeting from the sky and submerging in to the ocean! #UFO #ufos #uaps #uap #Aliens #Alien #OVNI ,,NA,https://www.tiktok.com/@ufonomenon/video/7509820964491005207
7509602285434015007,washingtonpost,13863,18,6,859,US,2025-05-28T20:52:35Z,,7509602324570966815,"Trump THREATENS new tariff on iPhones Apple is expected to unveil four new iPhone models in a matter of months — and they might cost more than you expect. On Friday morning, President Donald Trump threatened to impose a significant new tariff on iPhones, seemingly in hopes of forcing the company to produce its most lucrative product line domestically. “I have long ago informed Tim Cook of Apple that I expect their iPhone’s that will be sold in the United States of America will be manufactured and built in the United States, not India, or anyplace else,” Trump said in a post on Truth Social. “If that is not the case, a Tariff of at least 25% must be paid by Apple to the U.S. Thank your [sic] for your attention to this matter!” Caption from a story by: Chris Velazco",,"The president is threatening a 25% tariff on all iPhones not made in the United States, which right now is all of them. Like they don't make iPhones in the US. But this post on truth social didn't come out of nowhere. See, the Trump Administration has had a Trade War with China ever since Trump 1.0 in 2016. And this time around, tariffs got up to 145% on China. If you're sitting in Apple Park and your Apple CEO Tim Cook, and you read all this news, you might think, I have to do something about this. apple has been building most of its devices in China for decades. And Tim Cook himself is the one who set up those supply chains when he was working under then CEO Steve Jobs. So in an effort to pivot away from China, Tim Cook said most of the iPhones sold in the March to June time period would be made in India. Side note tariffs generally apply to broad categories of products and not a single product from a specific company. Which makes trying to implement such a tier of hard on both a legal and practical level. And apple makes more than one product. Like what about this twenty dollar cloth that apple for some reason needs to say what it's compatible with? It's a cloth. So let's say apple did wanna make the iPhones in the US. It would take several years and cost billions of dollars just to Make the plants that would make the iPhone. And Commerce Secretary Howard Lutnick said the vision for these plants would be, remember the army of millions and millions of human beings screwing in little little screws to make iPhones. That kind of thing is gonna come to America. Of the speculation that the price of a US made iPhone will cost anywhere from $2,000 to $3,500. And Tim Cook himself said, the main reason they produce iPhones in China is the quantity of skill in one location and the type of skill it is. You know, in. In the US, you could have a meeting of tooling engineers and I'm not sure we could fill the room. In China, you could fill multiple football fields.
",https://www.tiktok.com/@washingtonpost/video/7509602285434015007
7509576260885040414,washingtonpost,108689,133,369,16585,US,2025-05-28T19:11:42Z,,7509576290165459742,"RFK Jr. wants “in-house” medical journals. Health and Human Services Secretary Robert F. Kennedy Jr. said Tuesday that he may bar government scientists from publishing in the world’s leading medical journals, instead proposing the creation of “in-house” publications by his agency — the latest in the Trump administration’s attacks on scientific institutions. “We’re probably going to stop publishing in the Lancet, New England Journal of Medicine, JAMA and those other journals because they’re all corrupt,” Kennedy said during an appearance on the “Ultimate Human” podcast. He also described the journals as being under the control of pharmaceutical companies. Kennedy also accused several of the agencies under the Department of Health and Human Services — including the National Institutes of Health, the Centers for Disease Control and Prevention, the Food and Drug Administration, and the Centers for Medicare and Medicaid Services — of being “sock puppets” for the pharmaceutical industry. Adam Gaffney, a public health researcher and an assistant professor at Harvard Medical School, wrote in an email that “banning NIH-funded researchers from publishing in leading medical journals and requiring them to publish only in journals that carry the RFK Jr. seal of approval would delegitimize taxpayer-funded research.” The podcast episode was released soon after Kennedy bypassed the CDC and declared that his department would stop recommending the coronavirus vaccine for healthy pregnant women and children. Caption from article by Niha Masih and Amy B Wang.",,"What are you guys doing writing in our science journals? They were all established in the 1800s and they're all peer reviewed. Well, stop it. What? Why? I'm proposing the creation of in house publications within my agency. I don't understand. Your publications are under control of the pharmaceutical companies. You know, we probably should take steps to make sure that commercial interests don't impact reporting of science. Exactly. But banning NIH funded researchers from publishing and leading medical journals and requiring them to publish in journals that have your seal of approval. Uh huh. Would delegitimize taxpayer funded research. Oh yeah? Guess what? I also think these four agencies are sock puppets for the pharmaceutical industry. This is crazy. I'm writing about this in my personal journal. Also, we're gonna stop recommending the coronavirus vaccine for healthy pregnant women and children. We do not recommend not recommending that.
",https://www.tiktok.com/@washingtonpost/video/7509576260885040414
7509521969671605506,ufonomenon,2771,3,4,69,GB,2025-05-28T15:40:39Z,,7272647054889913090,Incredible footage of a massive UFO recorded at sea! Breaking news! #UFO #ufos #uaps #uap #Aliens #Alien #OVNI ,,NA,https://www.tiktok.com/@ufonomenon/video/7509521969671605506
7509441210608569622,ufonomenon,6386,0,7,127,GB,2025-05-28T10:27:17Z,,7476429612541610774,Incredible footage of a massive sphere UFO shooting out of the ocean! Witnesses watch in amazement!#UFO #ufos #uaps #uap #Aliens #Alien #OVNI ,,"الله اكبر
",https://www.tiktok.com/@ufonomenon/video/7509441210608569622
7509424754567204118,ufonomenon,11286,3,9,191,GB,2025-05-28T09:23:27Z,,7509424759961045782,Footage of a massive sphere shaped UFO emerging from the ocean! All captured on camera! #UFO #ufos #uaps #uap #Aliens #Alien #OVNI ,,NA,https://www.tiktok.com/@ufonomenon/video/7509424754567204118
7509109735774276886,ufonomenon,7347,9,9,140,GB,2025-05-27T13:00:58Z,,7013137928603978502,Massive UFO emerges from the ocean! I hope them people in the water are ok! All recorded on camera! #UFO #ufos #uaps #uap #Aliens #Alien #OVNI ,,"She's coming right over. Oh, no! Oh, shit! Oh, my God!
",https://www.tiktok.com/@ufonomenon/video/7509109735774276886
