video_id,author_name,view_count,comment_count,share_count,like_count,region_code,create_time,effect_ids,music_id,video_description,hashtag_names,voice_to_text,fetch_timestamp,fetch_date,data_source
7569529765091151159,wwzzsz206,1167,0,0,13,US,2025-11-06 08:43:51,NA,7569530260337838903,#tikyok#foryou#fyp,"foryou,fyp,tikyok","Didi made the biggest mistake of her life. She tried to give herself a cute haircut. Unfortunately, she wasn't good at cutting hair. She ended up cutting off way more than she intended. She tried to glue the hair back on, but the glue didn't work. She found Dexter, who started mocking her when he saw the mess. Deedee asked Dexter for help and kept praising him. Dexter plucked one of her hairs to study it. Eventually, he concocted a potion to help her hair grow back. Before giving her the formula, Dexter carefully explained how to use it, warning her of the consequences if she ignored his instructions. But as usual, Deedee didn't listen. She nearly emptied the entire bottle in one go. As expected, the result was a disaster. Her hair began growing uncontrollably fast. She immediately ran into Dexter's lab. Seeing this, stir tied her hair back. But Deedee's hair kept growing. To fix the problem, Dexter decided to create an antidote. He sneaked up behind dad and removed his wig. Dad was naturally bald. Then he collected some of Dad's dandruff. Dad found him. He immediately left. The situation was getting worse. He had to develop an antidote immediately. While Dexter worked on the new formula, he seemed unable to succeed. Deedee's hair grew thicker and thicker, completely taking over the lab. Despite the enormous challenge, Dexter didn't give up. Deedee was completely engulfed in hair. Once the formula was ready, he pushed through the thick Tangle and start trimming. Then he sprayed the potion. He trimmed and sprayed simultaneously. Finally, he succeeded in applying the potion to Deedee's hair. The hair slowly began to disappear and everything returned to normal. However, unexpectedly, the bottle of hair growth potion fell into his father's hands, causing disaster once again.
",2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569456230435933495,ajhosq65207,53,0,0,1,US,2025-11-06 03:56:37,NA,7569456314707872567,#usdt搬砖 #usdt兑换 #usdt承兑 #偏门 #虚拟货币 #欧易 #成功 #创业 #混币,"成功,创业,虚拟货币,偏门,欧易,usdt承兑,usdt搬砖,usdt兑换,混币",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569598819332099350,user23159240865196,4284,0,6,39,DE,2025-11-06 13:09:31,NA,7569598837346700055,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember","Ah, ¿qué pasó? Ay, ¡qué! ¡Ay! ¡Se me quedó el cargador! Ay, no, ¡el cargador! Ay, ¡se me olvidó la billetera! ¡Dios mío! Ay, ¡se me olvidó el cargador! ¡Ay no! Qué le pasa, ¿bobo? Ay, yo no fui, yo no fui. ¡Ay el partido! Ay, ¡no el partido! Qué pasa, ¡gonorrea! ¡Cuál partido! ¡Ni que! Ay, ¡se me olvidó la ropa! Ay, Dios mío, ¡la ropa! Ay, se me olvidó, ¡se me olvidó la ropa! ¡Ay no! ¡Ay! Se me olvidó la billetera, ¡hermano! Ay, ¡se me quedó el cargador!
",2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569596185892244758,user7588402974510,6282,1,19,243,DE,2025-11-06 12:59:17,NA,7569596194154990358,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569549027444886839,basilberthaeq0301,605,0,9,44,US,2025-11-06 09:56:29,NA,7569549053134965559,KondisiterkinimusholaPONPESAIKhozinySidoarjoambruksaatsalatashar.#jtvjember#evakuasi#sidoarjo#fyp,"fyp,sidoarjo,evakuasi,jtvjember",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569512364047879454,andretracy0724,1370,0,82,73,US,2025-11-06 07:34:40,NA,7569517418242951967,KondissiterkinimushalaPONPESAlKhozinySidoarjoambruksaatsalatashar#jtvjember#evakuasi#sidoarjo#fyp,"fyp,sidoarjo,evakuasi,jtvjember",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569403127896493319,alejandrozarate1638,105,0,0,4,MX,2025-11-06 00:30:09,NA,7494789459393743649,NA,NA,NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569654011473710354,mustak42459,148,6,2,31,BD,2025-11-06 16:43:40,NA,6927673585968483073,#duet with @Samira jahan  #greenscreen,duet,NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569612802483146006,power7143,1045,0,15,86,DE,2025-11-06 14:03:46,NA,7182271009542654726,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember","badoo badoo badoo badoo badoo 아주 아주 바두바두 아주 바두바두두 아주 바두바두 아주 바두바두 바두바두 바두바두 아두바두바두 아두바두바두바두 아두바두바두 i do i do hva du hva du hva du hva du
",2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569591767956327688,mustak42459,155,19,1,61,BD,2025-11-06 12:42:07,NA,7513993445020158737,#সাপোট_করবেন_ইনশাআল্লাহ_সাপোর্ট_পাবেন।,সাপোট_করবেন_ইনশাআল্লাহ_সাপোর্ট_পাবেন।,NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569515986865360158,prkdnkrb58,385,0,0,2,US,2025-11-06 07:48:47,NA,7569521135310637854,#TikTokShopBlackFriday #TikTokShopCyberMonday #spotlightfinds,"spotlightfinds,tiktokshopblackfriday,tiktokshopcybermonday",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569499046117723422,prkdnkrb58,20,0,0,0,US,2025-11-06 06:42:53,NA,7569504155216579359,#TikTokShopBlackFriday #TikTokShopCyberMonday #spotlightfinds,"spotlightfinds,tiktokshopblackfriday,tiktokshopcybermonday",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569481293461753118,prkdnkrb58,29,0,0,0,US,2025-11-06 05:33:47,NA,7569486454406089502,#socks #TikTokShopBlackFriday #TikTokShopCyberMonday #spotlightfinds,"socks,spotlightfinds,tiktokshopblackfriday,tiktokshopcybermonday",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569593878194441485,huiodjio,881,0,6,124,US,2025-11-06 12:50:27,NA,7569593854588898061,Last one best 🤣 Top 5 Funniest yeah Mad Moments 🤣 #dadjokes #yeahmad,"dadjokes,yeahmad","So, Alan, what's blue and not very heavy? I don't know. Light blue. Oh, um. Is this tequila? Yeah, I think I'm allergic to tequila. It's fine, it's fine, it's fine. Two. Your mom is so small and Asian. She loves you, short time. I love you, too, short time. 3 what do all of the Marvel films have in common when they came out in theaters? What? I wanked in all of them. I hate my elbows. Rory, Spider Man's on the screen. Yeah, I didn't know this was 4D. 4 what does make a wish kids and milk have in common? Tell me. An expiration date. 5 Alexis, you were so excited to see a cockatoo on the balcony the other day. But I thought you'd be used to a cock or two. Fair. That's super fair. I didn't even.
",2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569589837758598430,dtkwod,1047,5,1,159,US,2025-11-06 12:34:52,NA,7569589755973765918,TOP 5 mattrifeFUNNY MOMENIS #mattrife #mattrifeedit #comedian #standup #problematticworldtour @Matt Rife,"standup,comedian,mattrife,mattrifeedit,problematticworldtour","Alex. Great to meet you, Alex. Alex, what do you do? You work at a prison? Are you a guard there? That. That's crazy. Has anything crazy ever happened to you personally? Like, you ever had, like, an interaction with an inmate that you were like, what? I can't believe this fucking happened! Three months in! Three months in 9 white supremacists put you in the hospital? Holy shit, they just jumped you. Oh, my god! 2 were you checking directions for the drive back? Is that what it was? What was that? That was just four vowels in a row. Haha. Bro, British people just say, fuck consonants, dude, look at me in my bowl, bro. Who the fuck are you people? Dude, say letters. You just dip on half the word sometimes. What do you do? I'm a buyer. You're a buyer? Oh, we're all buyers. I can't even say it because you won't even say it. Why is it people like, what is it? How bad could it possibly be? She just said something that was so not a word. Aluminum. Aluminum. Three. And then he topped me off. Dude, it was fire. No hands, you know? You a cop? Really? Yeah, the mustache. That makes sense. So you were actually totally okay with the amount of black people that were here? He was like, somebody's breaking into my car. He was like, how's it feel? Ah, shots fired! How's it feel? Four. Matter of fact, I'm Gonna. I'm gonna tell him you're cheating on him right now. Is it a church or is it like a. Is it a barn? You say you're not religious. What do you. What do you think happens? God? What do you think happens? I like the. I like the kind of fast, like, dabble with reincarnation a little bit. Dabble and reincarnation, that's what. Would you like to come back as a married woman? Stupid bitch. Oh my god! Haha! I'm kidding, I'm kidding, I'm kidding, I'm kidding. Haha! The ring finger five. Can you guys feel my jokes? You're my fucking nightmare, bro. It is very good. Where are you from? Crumble. Crumble? Is that like a local Chicago place? No. Is it. Is it a chain? My who booed cookies? What do you have against Crumble, Dog? You a rival bakery or something? You got ops out here? You don't fuck with crumble? No. Why not? Cause they crumble and I heard they bitch. It's in the name. Yeah, you name a bakery, they stay together and see how well your business does. Just fucking biting on bricks and shit. That's solid advertisement. They never let you astray even once.
",2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569502804411157790,elmacronin0304,4800,0,1,63,US,2025-11-06 06:57:29,NA,7382619935791074081,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569502196950125854,elmacronin0304,3847,0,0,66,US,2025-11-06 06:55:08,NA,7382619935791074081,Kondisi terkini mushola PONPES Al Khoziny Sidoarjo ambruk saat salat ashar #jtvjember #evakuasi #sidoarjo #fyp,"fyp,sidoarjo,evakuasi,jtvjember",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569596431531625759,you55668,143,0,1,2,US,2025-11-06 13:00:25,NA,7569596371746016030,Last one best 🤣 Top 5 Funniest yeah Mad Moments 🤣 #dadjokes #yeahmad,"dadjokes,yeahmad",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569595407857143053,xxii911,929,2,8,139,US,2025-11-06 12:56:25,NA,7569595413003504397,Last one best 🤣 Top 5 Funniest yeah Mad Moments 🤣 #dadjokes #yeahmad,"dadjokes,yeahmad",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569593753908874527,weck01,864,0,1,128,US,2025-11-06 12:49:56,NA,7569593603098561311,Last one best 🤣 Top 5 Funniest yeah Mad Moments 🤣 #dadjokes #yeahmad,"dadjokes,yeahmad","What did the drummer call his twin daughters? What did the drummer call the twin daughters? And a one and a two. 예 2 so I've noticed that your mum's a little bit too slow. Yeah. It took her nine months to make a good joke. You're a bitch. 3 are you from Asia? No. Because I'm trying to get in your japanties. I hate myself. 4 Peyton? Yeah? Is it true that while driving to Disneyland, there was a sign that said Disneyland left, then you started crying and went home? You know, I probably would as well. Look at us. These are good, man. 5 so it turns out Americans do use the metric system. Hmm. They use 9 millimeters at school. Cat, cat, cat, cat! You're getting detained at the border after that one? Yeah, probably. Yeah. That's great. That's. That's very funny. Unreal.
",2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569591374178258206,yourstoryttt,653,2,0,90,US,2025-11-06 12:40:47,NA,7569591276639734558,TOP 5 mattrifeFUNNY MOMENIS #mattrife #mattrifeedit #comedian #standup #problematticworldtour @Matt Rife,"standup,comedian,mattrife,mattrifeedit,problematticworldtour",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569525630816046391,steven.garrison13,758,0,1,47,US,2025-11-06 08:27:18,NA,7569526043302021943,😭😭@TheJubalShowJubalinthemorningradioprogram“BrookeandJubal”#brookeandjubal#brookandjubalinthemorning#seconddate#seconddateupdate#prank#prankcall#storytime#fyp#fypシ#dateupdate#phonecalls#trending,"prank,phonecalls,trending,storytime,prankcall,fyp,seconddate,seconddateupdate,brookeandjubal,fypシ,dateupdate,brookandjubalinthemorning",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569525309108718862,steven.garrison13,1479,0,1,94,US,2025-11-06 08:26:17,NA,7569525812974603021,😭😭@TheJubalShowJubalinthemorningradioprogram“BrookeandJubal”#brookeandjubal#brookandjubalinthemorning#seconddate#seconddateupdate#prank#prankcall#storytime#fyp#fypシ#dateupdate#phonecalls#trending,"prank,phonecalls,trending,storytime,prankcall,fyp,seconddate,seconddateupdate,brookeandjubal,fypシ,dateupdate,brookandjubalinthemorning","I was hugging my roommate goodbye at the airport when his crazy tinder date attacked me. Jasper and I have been best friends since college. We met freshman year, bonded over terrible dining hall food and all nighters and never looked back. When we both got jobs in the city after graduation, moving in together was a no brainer. That was three years ago. He's the best roommate I've ever had. Makes coffee every morning, splits chores without being asked, watches my favourite trashy reality shows with me even though he pretends to hate them. We're not romantic, never have been, never will be. Jasper is gay, has been out since high school. I'm straight. We're basically siblings who chose each other. Our apartment reflects it. His sneakers by the door, my plan covering every surface. Inside, jokes written on post it stuck to the fridge. Everyone who knows us knows we're just roommates, just friends. That Tuesday morning, I drove him to the airport for his sister's wedding in San Francisco, five days away. We grabbed coffee, sat at his gate laughing about his mom's terrible dance moves from last year's rehearsal dinner. When they called his boarding group, he stood up and I pulled him into a hug, normal goodbye hug, the kind we've done a thousand times before. That's when I heard someone screaming. A girl was running toward us, blonde hair flying, face twisted with rage. Jasper pulled back from the hug and his face went Completely white. The girl was there in seconds, right in our space, breathing hard, staring at me like she wanted to kill me. I knew it, she said. I knew there was someone else. Jasper stepped back. Celeste, you need to leave. My stomach dropped. This was the girl he'd mentioned months ago, the one from his old tinder profile back before he fully came out almost two years ago. He'd gone on one date with her while he was still figuring himself out, then realized he couldn't keep pretending. He told her he wasn't interested and blocked her when she wouldn't stop texting. She ignored him and pulled out her phone, started showing me her screen. Jasper's Instagram photos of us at brunch last weekend, at a concert two months ago, a selfie we took in our apartment. You're all over his page, she said. Her voice was shaking. Every single post, you're always with him. People were starting to stare. A few moved away from us. Jasper's hands were trembling. Those are just pictures with my roommate, my friend, roommate. She laughed, but it sounded wrong, broken.
",2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569590388428639519,textstory781,123,0,0,5,US,2025-11-06 12:36:53,NA,7569590237660334879,TOP 5 mattrifeFUNNY MOMENIS #mattrife #mattrifeedit #comedian #standup #problematticworldtour @Matt Rife,"standup,comedian,mattrife,mattrifeedit,problematticworldtour",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569587564877827359,wty88731wbc,230,3,2,38,US,2025-11-06 12:26:00,NA,7569587491758508831,"What did he say? Next Live Show: Funny Bone Omaha-Omaha, NE: Fri June 13th & Sat June 14th #ariesspears #AriesSpearslive #StandUp #Comedy #improv #LouisvilleKY New Eastern Canada Tour dates! Don't miss an update: ariesspears.com/pages/tourFunny","standup,improv,louisvilleky,ariesspears,comedy,ariesspearslive",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569589880238443806,fjjgdvx,1012,3,0,147,US,2025-11-06 12:34:55,NA,7569589748256262943,TOP 5 mattrifeFUNNY MOMENIS #mattrife #mattrifeedit #comedian #standup #problematticworldtour @Matt Rife,"standup,comedian,mattrife,mattrifeedit,problematticworldtour","I did half a Marathon this morning. You did half a Marathon this morning and you gave up? What happened to the other half? Do a full Marathon and I'd respect it. You don't get to do half and go, I'll tell people I did this much. That's all right. How long is half a Marathon? 21 K. 21 K. Fifteen miles. Thank you. 15 miles. Okay. This motherfucker make me do math right now. You know, you. When you ask somebody how old a baby is, they're like 437,000 months. And you're like, you bitch. You mean they're 86? Two. And I just. And you're like, dude, is this the rest of the song, bro? He'll be on stage and just. Haha! You're like, what the fuck, dude? Other people are here. Haha. Three. Not relatable with the boys at all. You ever just be shoulder deep in a bit? Oh, my goodness. What happened? A bear. A bear? A bear bit your arm off? That's the most gangster thing I've ever heard in my entire life. Holy shit. How long ago was this? Three. Three years ago. 30 years ago. 30 years ago what? How old are you? 43. 43 what? You're 15 when this happened? Is that. Is that the right math? 13, 13. Shut the fuck up, you guys. Four. What are you doing here? Oh, nice. Where is he? He's here. He's up there. Oh, sup, dog? What's your name? Sam. Sam, nice to meet You? How's Frodo? Lame. That's stupid. That's stupid. That's stupid. Where'd you meet Miss California? In San Francisco. In San Francisco? Can I have a long story? Can I have a long story? Skip it. Alright, never mind. I don't. I don't have that kind of time. Put a death row case. Oh, you guys are so middle school 5, but well, you know. You brought me a wedding invitation. No, uh. Oh. When is it? August 17th. Very busy. Where's the wedding? Severeville. Severeville? Palsy is severeable a place? Yeah. Change it. Do you know who Dolly Parton is? Do I know who Dolly Parton is? Of course. Titties. You went to the same high school as her? No way! That's pretty impressive. I gotta hand it to you. That's fucking awesome.
",2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569590321919577375,gskgu2,686,0,3,104,US,2025-11-06 12:36:37,NA,7569590227275139871,TOP 5 mattrifeFUNNY MOMENIS #mattrife #mattrifeedit #comedian #standup #problematticworldtour @Matt Rife,"standup,comedian,mattrife,mattrifeedit,problematticworldtour",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569586686959684919,hec88551nva,1007,2,1,153,US,2025-11-06 12:22:34,NA,7569586694840732429,"What did he say? Next Live Show: Funny Bone Omaha-Omaha, NE: Fri June 13th & Sat June 14th #ariesspears #AriesSpearslive #StandUp #Comedy #improv #LouisvilleKY New Eastern Canada Tour dates! Don't miss an update: ariesspears.com/pages/tourFunny","standup,improv,louisvilleky,ariesspears,comedy,ariesspearslive",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569558428331330847,labksb49906r,1415,0,2,100,US,2025-11-06 10:32:58,NA,7569558138240650014,#familyguy #fyp #top5 #cartoon,"cartoon,familyguy,top5,fyp","Excuse me. Do you know how to get to town? Yeah, it's back the way you came. Oh, this is fantastic. This is even better than they said it was in the brochure. Oh, yeah. I feel like a pig, but come on, we're on vacation. Exactly. Don't hate yourself. We're on vacation, right? Yeah. I hear Madonna's raising this guy's Kid. Thank you for coming, deepthroat. You'll understand if I don't come out from the shadows, my identity will be safest if you never see my face. Uh, okay. Mayor West hasn't slept at home for 3 nights. Kermit the frog. Somebody talked. No one is safe. I'm getting out of here. Yeah. What's his appeal? Bingo. I'm concerned that frogs in more trouble than she realizes. Lightly touch the underside of my penis. Yeah. Oh, okay. No, nothing's happening. What do you mean you're not turning into a prince? I'm not a prince, but you told me you were. Uh, I did not. Yes, you did. I did not. You said I was and I just didn't bother to correct you. So what are you? I'm just a frog looking to get some wood, man. And mission accomplished. Thank you very much.
",2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
7569595520839191822,text690,688,1,0,35,US,2025-11-06 12:56:55,NA,7569595573045676814,Last one best 🤣 Top 5 Funniest yeah Mad Moments 🤣 #dadjokes #yeahmad,"dadjokes,yeahmad",NA,2025-11-13 00:01:06.900063,2025-11-13,loaded_from_23h_cache
