Timestamp,New_Accounts_Count, Total_Accounts
2024-11-10,46,1016
2024-11-11,67,1083
2024-11-12,0,1083
2024-11-13,0,1083
2024-11-13,73,1156
2024-11-14,0,1156
2024-11-15,0,1156
2024-11-16,0,1156
2024-11-17,0,1156
2024-11-17,136,1292
2024-11-18,0,1292
2024-11-19,0,1292
2024-11-20,0,1292
2024-11-21,0,1292
2024-11-22,0,1292
2024-11-23,0,1292
2024-11-24,0,1292
2024-11-24,227,1519
2024-11-25,221,1740
2024-11-26,293,2033
2024-11-27,150,2183
2024-11-28,156,2339
2024-11-29,4,2343
2024-11-30,30,2373
2024-12-01,7,2380
2024-12-02,78,2458
2024-12-03,88,2546
2024-12-04,26,2572
