video_id,author_name,view_count,comment_count,share_count,like_count,region_code,create_time,effect_ids,music_id,video_description,hashtag_names,voice_to_text,video_url
7434666597178019102,fl_deplorable1,5968,12,26,212,US,2024-11-07T22:24:33Z,,7434666731680942878,A new day has dawned!! Your criminal rampaging is coming to an end!#fyp #bigfannie #trump #trumpsupporters #maga #newyork ,,"Let me just say this to Big Tish James, the New York attorney general. I dare you. I dare you to try to continue your law fair against President Trump in a second term. Because listen here, sweetheart. We're not messing around this time. And we will put your fat ass in prison for conspiracy against rights. And I promise you that. So think long and hard before you wanna violate President Trump's constitutional rights or any other American's constitutional rights. We",https://www.tiktok.com/@fl_deplorable1/video/7434666597178019102
7434653535444176160,gudi0812,94,0,0,3,DE,2024-11-07T21:32:57Z,,7434653564225456929,Deutschland vor einem politischen Umbruch! Steinmeier übergibt die Entlassungsurkunden nach dem Ampel - Aus. Was bedeutet das für die Zukunft? #Deutschland #Politik #AmpelAus#Steinmeier #regierungskrise #nachrichten #BreakingNews #politiktiktok #GermanNews #donaldtrump ,,NA,https://www.tiktok.com/@gudi0812/video/7434653535444176160
7434644801380797739,jpall20,22805,425,98,2947,US,2024-11-07T20:59:01Z,,7244541413978343426,Give your best defense in the comments i guess lmao #eating #cat #catsoftiktok #cats #catlover #dogsofttiktok #pet #petowner #canteataterrybodyhouse ,,I just saw a video of a woman that feeds her cat on her counter like her kitchen counter and I swear to god if I walk into your house and your your cat's bowl is on the kitchen counter because that's where you feed it and the cat goes up on the kitchen counter to eat its food on your kitchen counter I'm kicking you out of your own house and some people in the comments were like oh yeah like I do that too because like my dog likes to steal my cat's food feed the cat in the bathroom feed the cat in the garage feed the cat in the basement there are so many areas in your house besides the kitchen unless you live in a studio kitchen apartment do you live in a studio kitchen apartment like your apartment's only a kitchen you have nothing else in your apartment but kitchen a cat walks all of your floors all day and then they walk into a litter box where they shit and pee and then they go on your counter this is why we can't eat in everybody's houses because you have kitty asshole on your counter and um you know what maybe I should just come over or take my asshole out and put it on your counter would you mind would you mind if I did that,https://www.tiktok.com/@jpall20/video/7434644801380797739
7434634613592575263,washingtonpost,596531,541,638,50830,US,2024-11-07T20:19:46Z,,7434634611600149279,"Where did millions of votes go? They’re still being counted in many precincts, particularly in the West.  So it’s unclear whether Republicans managed to defend their narrow majority. Flipping the House is the only chance Democrats have of blocking full Republican control over the White House and Congress.",,NA,https://www.tiktok.com/@washingtonpost/video/7434634613592575263
7434625213851012394,jpall20,13039,95,68,1922,US,2024-11-07T19:43:01Z,,7434625186466417450,Im so done LMAOOOO #x #wild #monkey #research #climate #globalwarming #heatwave #snow #hurricane #wildfire #google #jail #prison #fbiopenup ,,crazy things I've seen on the internet today oh my god first of all did you guys know that Bill Clinton did all that I thought it was just her underneath the Oval Office table I had no idea that it was this deep and then the community note this world can't be real this is absolutely insane tracking a Hurricane heavy snow record heat and wildfires all at the same time we really do need an overhaul of the department of education and anybody says that we don't is totally out of their mind you mean to tell me that people searched on election night a spike in searches did Joe Biden drop out babe what the f*** this sounds good police hunt 43 monkeys that escaped from a South Carolina research facility the monkeys were a group of very young females that have never been used for testing likely story I saw this um and it says forced to be your mother and I was very confused and then the next slide was born to be your lover and I was still confused and the caption is just ha ha she's proud to be his mother but sometimes wishes that she was his lover her fault for making him attractive I suggest prison prison time seems appropriate,https://www.tiktok.com/@jpall20/video/7434625213851012394
7434583920533982497,uschibunge,1,0,0,0,DE,2024-11-07T17:02:50Z,,7434584032287296288,MARKmobil Aktuell - Amerika great again Sonderbericht zum Wahlsieg von Donald Trump,,NA,https://www.tiktok.com/@uschibunge/video/7434583920533982497
7434579883428252970,jpall20,8964,136,29,1223,US,2024-11-07T16:47:08Z,,7434579858371644206,I am #hopeful for this country moving forward and I #hope things work out in our favor #hopecore #positivevibes #positiveenergy #positivevibesonly #downfall ,,every election there's obviously always people who are very angry that their candidate did not win and sometimes people get so angry that they wish harm on others they wish harm on the United States of America they hope that we have some kind of downfall and we're seeing that and what I hope is that every single thing that people think that's negative that they think Trump is going to do I hope that that doesn't happen I hope that him and J d Vance do a really good job I hope that Americans prosper financially and every other way underneath this administration I hope that when deciding women's rights that uh the states who have this uh block on certain women's healthcare I hope that that changes I hope that all of the people that Trump puts in power are people who are good for the American people and that are gonna help us in some way shape or form and I hope that this benefits every single American regardless of who they voted for and I hoped this four years ago when Biden became president and to not hope this for everybody in America just because your candidate lost the election and this goes for Republicans and Democrats you are insane I might not be confident that every single thing is going to change in a positive way but I'm hopeful that it will be just as I was four years ago because really that's all we can do I will never agree with everything that every politician does but I will not wish for the downfall of the country that I live in,https://www.tiktok.com/@jpall20/video/7434579883428252970
7434560782265879839,fl_deplorable1,30087,75,171,1099,US,2024-11-07T15:33:23Z,,7434560791833053982,Replying to @kim seguin238 Bring it @President Donald J Trump #fyp #trump #trumpsupporters #maga #,,we have some news about Special Council Jack Smith this man right here Donald Trump said recently that he would fire Jack Smith quote within two seconds of taking office but we found out that he may not have that opportunity the reason is that the department of justice where Jack Smith works cannot prosecute a sitting president Fox News is told that Jack Smith will be gone from his post as special council meaning the cases will be gone before Trump takes the oath of office at noon on January 20th this is the documents case though that was dropped already by Judge Eileen Cannon back over the summer and it's on appeal but also this case for Trump's alleged efforts to try to overturn the 2020 elections so given the fact DOJ policy says you cannot prosecute a sitting president expect Jack Smith cases to be done the last case and all end on this is that Atlanta case that deals with the 2020 elections that's a local Georgia case we've seen over the last year how that has played out with funny Willis Nathan Wade that has many problems many different delays so the bottom line for my story to all of you right now Donald Trump's legal problems have essentially all gone away since he won last night Harris,https://www.tiktok.com/@fl_deplorable1/video/7434560782265879839
7434332905888959787,jpall20,119636,584,815,16285,US,2024-11-07T00:48:43Z,,6766128122128500738,If you agree with this you dont agree with #democracy #fairness #balance #scary #dictatorship #election ,,Trump being president is not what scares me the most it's the house and the Senate being Republican because regardless of how you feel about Trump or any other presidential candidate the president in my opinion is just a figurehead yes they have a little bit of power but the real power lies in the house and the Senate they're the people who make really all of the decisions for the American people and although I don't agree with everything on the Democrat side and I don't agree with everything on the Republican side there's a reason why we have checks and balances and there is no reason why it should be allowed that an entire government can be all one side that totally negates the whole checks and balances thing and I don't understand we don't have how we don't have something in place that prevents that and not to mention that the Supreme Court is also majority Republican this is going to prevent Democrats from passing anything that is meaningful to Democratic Party or their voters and although I'm not a Democrat or Republican I'm independent I fall in the middle on a lot of issues or some key issues that I am not negotiable on actually from both sides but I don't feel like that's right for the Democrats and if you're a Republican and you're so happy about the entire government being Republican then you don't actually care about democracy in the first place the only things that you care about are the things that you care about and nothing else that anybody else wants in this country the 365 million other people year that shit doesn't matter to you or at least for half of them it doesn't matter to you there's something wrong that's not okay that's not how it should work and that's not freedom for everybody it's dictatorship,https://www.tiktok.com/@jpall20/video/7434332905888959787
7434298342240210207,washingtonpost,30530,36,15,1882,US,2024-11-06T22:34:43Z,,7434298287202634526,"How American in 10 states on abortion access This election, voters in 10 states — from deep-red Missouri to traditionally blue New York — were asked to decide on ballot measures relating to abortion access and reproductive rights. Seven of those states voted to protect, preserve or extend abortion rights, while three voted to restrict them, according to The Washington Post’s tally.Here are the states where abortion was on the ballot and how those measures fared.",,NA,https://www.tiktok.com/@washingtonpost/video/7434298342240210207
7434269239751609631,washingtonpost,4465324,1785,4570,331242,US,2024-11-06T20:41:57Z,,7434269199318518559,"Gen Z voters’ signatures are causing problems for Nevada ballot counters. Thousands of voters in Nevada — many of them young — still need to verify their signatures on mail-in ballots before they can be counted by the Nov. 12 deadline, Nevada’s top election administrator said Tuesday. Signatures on mail-in ballots must be matched against a signature on file at county registrars’ offices. Nevada Secretary of State Francisco Aguilar (D) said that since the passage of automatic voter registration in the state — where a digital signature created when a person applied for their driver’s license is linked to their online voter registration — “more Nevadans than ever sign their names on digital screens that may look different than their pen-to-paper signatures.”",,"I mailed my vote and I did my part. This doesn't match at all. What's wrong? In Nevada, we verify the vote by matching it with the signature that we have on file. Right, the one people wrote when they applied for a driver's license. And these do not match at all. Oh, and I had the stack of recently married voters who changed their name but haven't updated their signature. I mean, doesn't even matter. Trump already won the national election. Why don't we just reject them? Yeah, he won, but there's still a close Senate race in several house races. Also, why can't we be like most states and use birthdays and partial Social Security numbers to verify? Ah, come on. What is it? This person just drew a picture.",https://www.tiktok.com/@washingtonpost/video/7434269239751609631
7434188280821763358,washingtonpost,920168,523,328,52228,US,2024-11-06T15:27:43Z,,7434188139079535391,"Trump has won the presidential election after he was projected to win Wisconsin shortly after 5:30 a.m. Wednesday. Trump earned the 270 electoral votes needed to defeat Harris after key victories in Pennsylvania, Georgia and North Carolina.",,NA,https://www.tiktok.com/@washingtonpost/video/7434188280821763358
7434156788670401823,fl_deplorable1,12455,28,94,869,US,2024-11-06T13:25:41Z,,7434156769812695838,They were all at the righr rally !! God Bless America 🇺🇸🙏 #fyp #trump #trumpsupporters #maga #godisgood #godblessamerica ,,NA,https://www.tiktok.com/@fl_deplorable1/video/7434156788670401823
7434141273272978720,uschibunge,5,0,0,1,DE,2024-11-06T12:25:12Z,,7375243521449659169,"Wir haben das „Goldene Zeitalter“ erreicht. Trump hat jetzt das Weiße Haus, den Senat, das Abgeordnetenhaus, den Obersten Gerichtshof und die Unterstützung des amerikanischen Volkes. Die Uhr des Tiefen Staates tickt jetzt.",,NA,https://www.tiktok.com/@uschibunge/video/7434141273272978720
